Title,P-ISSN,E-ISSN,Source Type,All Science Classification Codes (ASJC)
AWHONN's clinical issues in perinatal and women's health nursing,10663614,,Journal,2700;
AWT Abwassertechnik,09323708,,Journal,2212;
Axiomathes,11221151,,Journal,1211; 2601;
"Axone (Dartmouth, N.S.)",08347824,,Journal,2700;
Ayer,11342277,,Journal,3316; 3312; 1202; 
Azania,0067270X,,Journal,3302; 1204;
Azerbaijan Journal of Mathematics,22186816,22219501 ,Journal,2600; 
Azerbaijan Medical Journal,00052523,,Journal,2700;
B.E. Journal of Economic Analysis and Policy,19351682,,Journal,2002; 2001;
B.E. Journal of Macroeconomics,19351690,,Journal,2002;
B.E. Journal of Theoretical Economics,19351704,,Journal,2000;
Babel,05219744,,Journal,3315; 3310; 1203;
Babesch,01659367,17831369 ,Journal,3302; 1205; 1204;
Bach,00053600,,Journal,1210;
Bacteriologia Virusologia Parazitologia Epidemiologia,12203696,,Journal,2700;
Bacteriological Reviews,00053678,,Journal,2700;
"Badania Fizjograficzne nad Polska Zachodnia, Seria A: Geografia Fizyczna",00672807,,Journal,2300; 1900;
Baender Bleche Rohere,00053848,,Journal,2200;
Bahrain Medical Bulletin,10128298,,Journal,2700;
Bailliere's Best Practice and Research in Clinical Anaesthesiology,15216896,,Journal,2703; 3200;
Bailliere's Clinical Anaesthesiology,09503501,,Journal,2703;
Bailliere's Clinical Gastroenterology,09503528,,Journal,2715;
Bailliere's Clinical Haematology,09503536,,Journal,2720;
Bailliere's Clinical Neurology,09610421,,Journal,2728;
Bailliere's Clinical Obstetrics and Gynaecology,09503552,,Journal,2729;
Bailliere's Clinical Rheumatology,09503579,,Journal,2745;
"Balance (Alexandria, Va.)",10946195,,Journal,2700;
Balkan Journal of Geometry and its Applications,12242780,,Journal,2608;
Balkan Medical Journal,21463123,21463131 ,Journal,2700;
Balkanistica,03602206,,Journal,3316; 1208; 3310; 1202; 1203;
Ballet Review,05220653,,Journal,1213;
Ballettanz,16126890,,Journal,1213;
Baltic Astronomy,13920049,,Journal,3103; 1912;
Baltic Journal of Economics,1406099X,,Journal,2000; 3320;
Baltic Journal of Law and Politics,20290454,,Journal,3308; 3312; 
Baltic Journal of Management,17465265,,Journal,1407; 1403; 1408; 1406; 1405;
Baltic Journal of Road and Bridge Engineering,1822427X,18224288 ,Journal,2215; 2205;
Baltica,00673064,,Journal,1901;
Bamidgeh,00054577,,Journal,2700;
Banach Journal of Mathematical Analysis,17358787,,Journal,2602; 2603;
Bandaoti Guangdian/Semiconductor Optoelectronics,10015868,,Journal,2208;
Bangladesh Development Studies,0304095X,,Journal,2700;
"Bangladesh Journal of Dermatology, Venereology and Leprology",10233903,,Journal,2708;
Bangladesh Journal of Medical Science,22234721,20760299 ,Journal,2700;
Bangladesh Journal of Obstetrics and Gynecology,10184287,,Journal,2729;
Bangladesh Medical Research Council Bulletin,03779238,,Journal,2700;
Bangladesh Renal Journal,10150889,,Journal,2727;
Banking and Finance Review,19477945,19476140 ,Journal,2003; 2002;
Banking Law Journal,00055506,,Journal,2003; 1400; 3308;
BANTAO Journal,13122517,,Journal,2727; 2747; 
Baopo Qicai/Explosive Materials,10018352,,Journal,1909;
Baozha Yu Chongji/Expolosion and Shock Waves,10011455,,Journal,3100;
BAR - Brazilian Administration Review,18077692,,Journal,1408;
Bariatric Nursing and Surgical Patient Care,15571459,15571467 ,Journal,2746; 2914; 2916;
Basic and Applied Histochemistry,03917258,,Journal,2702;
Basic and Applied Pathology,17559294,,Journal,2700; 2734;
Basic and Applied Social Psychology,01973533,15324834,Journal,3202; 3207;
Basic and Clinical Andrology,11662654,20514190 ,Journal,2743; 2748; 
Basic Income Studies,19320183,,Journal,2002;
Basic Life Sciences,00905542,,Journal,2700;
"Basic Research in Cardiology, Supplement",01759418,,Journal,2705;
Basin Research,0950091X,13652117,Journal,1907;
Batalleria,02147831,,Journal,1911;
Batiment International/Building Research & Practice,01823329,,Journal,2200;
Baumarkt und Bauwirtschaft,03412717,,Journal,2205;
Bautechnik (Ausg A),03411052,,Journal,2200;
Bauwirtschaft - BW,14330148,,Journal,2215; 2205;
Bayesian Analysis,19360975,19316690 ,Journal,2613; 2604;
Bealoideas,0332270X,,Journal,3316; 3314; 
Bedside nurse,00057665,,Journal,2700;
Beethoven Forum,10595031,,Journal,1210;
Before Farming: The Archaeology and Anthropology of Hunter-Gatherers,14764253,14764261 ,Journal,3314; 3302; 1204; 
Beginnings (American Holistic Nurses' Association),10712984,,Journal,2700;
Behavior Analyst,07386729,,Journal,3203; 3207;
Behavior and Philosophy,10538348,,Journal,3207; 1211;
Behavior Modification,01454455,,Journal,3203;
Behavior Research Methods,1554351X,15543528,Journal,3200; 3205; 3201;
Behavior Research Methods & Instrumentation,1554351X,,Journal,3200; 3205; 3201; 
"Behavior Research Methods, Instruments, and Computers",07433808,15325970,Journal,3200; 3205; 3201;
Behavior Therapy,00057894,,Journal,3203;
Behavioral and Social Sciences Librarian,01639269,15444546,Journal,3309; 3300;
Behavioral Assessment,01915401,,Journal,2738;
Behavioral Biology,00916773,,Journal,2300; 1900;
Behavioral Disorders,01987429,,Journal,3304; 3203; 3204;
Behavioral Healthcare,19317093,,Journal,3600;
Behavioral Healthcare Tomorrow,10638490,,Journal,3200; 3306; 3600; 3203;
Behavioral Interventions,10720847,1099078X,Journal,3203; 2738;
Behavioral Medicine,08964289,,Journal,2738; 3202;
Behavioral Neuropsychiatry,00057932,,Journal,2700;
Behavioral Research in Accounting,10504753,15588009 ,Journal,1402; 1407;
Behavioral Residential Treatment,08845581,,Journal,2738;
Behavioral Sciences and the Law,07353936,10990798,Journal,2738; 3203; 3308;
Behavioral Sciences of Terrorism and Political Aggression,19434472,19434480,Journal,3312; 3207; 3320; 
Behaviorism,00904155,,Journal,2700;
Behaviour Analysis Letters,01664794,,Journal,2700;
Behaviour and Information Technology,0144929X,13623001,Journal,3300; 1709;
Behaviour Change,08134839,,Journal,3205; 3203;
Behaviour Research and Therapy,00057967,,Journal,2738; 3205; 3203;
Behavioural and Cognitive Psychotherapy,13524658,14691833,Journal,3203;
Behavioural Psychotherapy,01413473,,Journal,2738;
Beifang Jiaotong Daxue Xuebao/Journal of Northern Jiaotong University,10001506,,Journal,2208;
Beijing Da Xue Xue Bao,1671167X,,Journal,2700;
Beijing Daxue Xuebao Ziran Kexue Ban/Acta Scientiarum Naturalium Universitatis Pekinensis,04798023,,Journal,1000;
Beijing Gongye Daxue Xuebao / Journal of Beijing University of Technology,02540037,,Journal,2200;
Beijing Hangkong Hangtian Daxue Xuebao/Journal of Beijing University of Aeronautics and Astronautics,10015965,,Journal,2202;
Beijing Huagong Daxue Xuebao (Ziran Kexueban)/Journal of Beijing University of Chemical Technology (Natural Science Edition),16714628,,Journal,1500;
Beijing Huagong Daxue Xuebao(Ziran Kexueban)/Journal of Beijing University of Chemical Technology,10072640,,Journal,1500;
Beijing Jiaotong Daxue Xuebao/Journal of Beijing Jiaotong University,16730291,,Journal,2200;
Beijing Keji Daxue Xuebao/Journal of University of Science and Technology Beijing,1001053X,,Journal,2200;
Beijing Ligong Daxue Xuebao/Transaction of Beijing Institute of Technology,10010645,,Journal,2200;
Beijing Shengwu Yixue Gongcheng/Beijing Biomedical Engineering,10023208,,Journal,1502;
Beijing Youdian Xueyuan Xuebao/Journal of Beijing University of Posts And Telecommunications,10005145,,Journal,1705; 2208;
Beilstein Journal of Nanotechnology,21904286,,Journal,2500; 2208; 3100; 
Beilstein Journal of Organic Chemistry,18605397,,Journal,1605;
Beiträage zur Mineralogie und Petrographie,03661369,,Journal,1906; 1908;
Beitrage zu Infusionstherapie und klinische Ernahrung,03788679,,Journal,2700;
Beitrage zur Algebra und Geometrie,01384821,,Journal,2602; 2608;
Beitrage Zur Geschichte Der Arbeiterbewegung,09423060,16183274 ,Journal,1202; 3312;
Beitrage zur Geschichte der Deutschen Sprache und Literatur,00058076,,Journal,3310; 1203; 1208;
Beitrage zur Geschichte der Sprachwissenschaft,09392815,,Journal,3200; 3310; 1200; 1203;
Beitrage zur Infusionstherapie = Contributions to infusion therapy,10116974,,Journal,2700;
Beitrage zur Infusionstherapie und Transfusionsmedizin = Contributions to infusion therapy and transfusion medicine,10232028,,Journal,2700;
Beitrage zur Klinik der Tuberkulose und spezifischen Tuberkulose-Forschung,03660966,,Journal,2700;
Beitrage zur Klinik und Erforschung der Tuberkulose und der Lungenkrankheiten,03009696,,Journal,2700;
Beitrage zur Pathologie,00058165,,Journal,2734;
Beitrage zur pathologischen Anatomie und zur allgemeinen Pathologie,03662446,,Journal,2700;
Beitrage zur Silikose-Forschung,03760243,,Journal,2700;
Beitrage zur Silikose-Forschung (Pneumokoniose),00675229,,Journal,2700;
Bekleidung Wear,09447067,,Journal,1400; 1403; 2209;
Belfagor,00058351,,Journal,3312; 3316; 1200;
BELGEO,13772368,,Journal,1904; 3305;
Belgian Journal of Linguistics,07745141,,Journal,3200; 3310; 1200; 1203;
Belgisch tijdschrift voor geneeskunde,0366368X,,Journal,2700;
Bell Labs Technical Journal,10897089,15387305,Journal,2208;
Belleten,00414255,,Journal,3316; 1202;
Ben Jonson Journal,10793453,1755165X ,Journal,1208; 
Benchmarking,14635771,,Journal,1403;
Bender's health care law monthly,10915982,,Journal,2700;
Benefits quarterly,87561263,,Journal,2700;
B-ENT.,1781782X,,Journal,2733;
Bereavement Care,02682621,19448279 ,Journal,2909; 3207; 3306; 2902;
Bericht der Romisch-Germanischen Kommission,03419312,,Journal,3302; 1204;
Berichte - Deutschen Wetterdienstes,00724130,,Journal,2300; 2200; 1900;
"Berichte - Zentrum für Meeres - und Klimaforschung, Universitat Hamburg Reihe A: Meteorologie",09477128,,Journal,1902;
Berichte der Bunsengesellschaft/Physical Chemistry Chemical Physics,00059021,,Journal,1500;
Berichte der Deutschen Keramischen Gesellschaft,00120367,,Journal,2200;
Berichte zur Wissenschaftsgeschichte,01706233,15222365,Journal,1207; 1202;
Berita jururawat,00675814,,Journal,2700;
Berkeley Planning Journal,10475192,,Journal,3305;
Berliner Geographische Studien,03418537,,Journal,3305;
Berliner Journal für Soziologie,08631808,,Journal,3312;
Berliner und Munchener Tierarztliche Wochenschrift,00059366,14390299,Journal,3400;
Bernoulli,13507265,,Journal,2613;
Berufs-Dermatosen,00059498,,Journal,2739; 2708;
Berytus Archaeological Studies,00676195,,Journal,3302; 1201; 3305;
Beschaftigungstherapie und Rehabilitation,0340529X,,Journal,2700;
Best Practice and Research in Clinical Anaesthesiology,17533740,,Journal,2703;
Best Practice and Research in Clinical Gastroenterology,15216918,,Journal,2715;
Best Practice and Research in Clinical Obstetrics and Gynaecology,15216934,,Journal,2729;
Best Practice and Research in Clinical Rheumatology,15216942,,Journal,2745;
Best Practice Onkologie,09464565,,Journal,2730;
Best practices and benchmarking in healthcare : a practical journal for clinical and management application,10850635,,Journal,2700;
BETA bulletin of experimental treatments for AIDS : a publication of the San Francisco AIDS foundation,1058708X,,Journal,2700;
Beton i Zhelezobeton,00059889,,Journal,2215;
Beton- und Stahlbetonbau,00059900,14371006,Journal,2215;
Betonwerk und Fertigteil-Technik/Concrete Precasting Plant and Technology,03734331,,Journal,1400; 2215;
Betriebswirtschaftliche Forschung und Praxis,03405370,,Journal,1400; 2002; 1403;
Betriebswirtschaftliche Forschung und Praxis,0006002X,,Journal,1400; 1403; 2002;
Bezopastnost' Truda v Promyshlennosti,04092961,,Journal,2213; 1504;
Bibel und Kirche,00060623,,Journal,1212; 
Biblica,00060887,,Journal,1212;
Biblical Archaeology Review,00989444,,Journal,3302; 1212; 1204; 
Biblical Interpretation,09272569,,Journal,1212;
Biblical Theology Bulletin,01461079,19457596 ,Journal,1212;
Biblios,15624730,,Journal,3309; 
Bibliotek for Laeger,00061786,,Journal,2700;
Bibliotheca Haematologica,00677957,,Journal,2700;
Bibliotheca microbiologica,00678058,,Journal,2700;
Bibliotheca nutritio et dieta,00678198,,Journal,2700;
Bibliotheca ophthalmologica : supplementa ad ophthalmologica,00678090,,Journal,2700;
Bibliotheca paediatrica,0301357X,,Journal,2700;
Bibliotheca psychiatrica et neurologica,0366256X,,Journal,2700;
Bibliotheque de l'Ecole des Chartes,03736237,19538138 ,Journal,3310; 1203; 1202;
Bibliotheque d'humanisme et renaissance; travaux et documents,00061999,,Journal,1202; 1208;
Biblische Notizen,01782967,,Journal,1202; 1212; 
Biblische Zeitschrift,00062014,,Journal,1212;
BiD,15755886,,Journal,3309; 
Big Data Research,22145796,,Journal,1404; 1710; 1802; 1706; 
Bijdragen en Mededelingen Betreffende de Geschiedenis der Nederlanden,01650505,,Journal,1202;
Bijdragen tot de Dierkunde,00678546,,Journal,2300; 1900;
"Bijdragen tot de Taal-, Land- en Volkenkunde",00062294,,Journal,3301; 3316;
Bildgebung = Imaging,10125655,,Journal,2741;
Bildteknik,11045825,,Journal,3305;
Bilgi Dunyasi,13023217,,Journal,3309; 
Bilig - Turk DunyasI Sosyal Bilimler Dergisi,13010549,,Journal,3300; 1200;
Bilingual Research Journal,15235882,15235890,Journal,3310; 1203; 3304;
Bilingualism,13667289,14691841,Journal,3304; 3310;
"Bing du xue bao = Chinese journal of virology / [bian ji, Bing du xue bao bian ji wei yuan hui]",10008721,,Journal,2700;
Binggong Xuebao/Acta Armamentarii,10001093,,Journal,2210;
Binocular Vision and Strabismus Quarterly,10886281,,Journal,2731;
Binocular Vision and Strabology Quarterly,21605351,21605904 ,Journal,2731;
Bioarchaeology of the Near East,18989403,1899962X ,Journal,3314; 3302; 1204;
Biochemische Zeitschrift,03660753,,Journal,2700;
Biocybernetics and Biomedical Engineering,02085216,,Journal,2204;
Biodiversity,14888386,,Journal,2303; 2306; 2309;
Bioethics,02699702,14678519,Journal,1211; 3306; 2719;
Bioethics forum,10657274,,Journal,2700;
Biofuels,17597269,,Journal,2311; 2105; 
"Biofuels, Bioproducts and Biorefining",1932104X,,Journal,1502; 2105;
Biogeochemistry,01682563,1573515X,Journal,2312; 2304; 1904;
Biographical memoirs of fellows of the Royal Society. Royal Society (Great Britain),00804606,,Journal,2700;
Biographical memoirs. National Academy of Sciences (U. S.),,,Journal,2700;
Biography,01624962,15291456,Journal,1202;
Bioinorganic Chemistry,00063061,,Journal,2700;
"Bioinspired, Biomimetic and Nanobiomaterials",20459858,20459866,Journal,2200; 2502; 
"Biokhimiia (Moscow, Russia)",03209725,,Journal,1600;
Biologia - Section Botany,13356372,,Journal,2303;
Biologia neonatorum. Neo-natal studies,05236525,,Journal,2700;
Biological Research for Nursing,10998004,,Journal,2922;
Biological Research in Pregnancy and Perinatology,0724438X,,Journal,2700;
Biological Wastes,02697483,,Journal,2310; 2311;
Biologics: Targets and Therapy,11775475,11775491,Journal,2715; 2745; 2736; 2730; 2723;
Biologie Cellulaire,03990311,,Journal,2700;
Biologische Medizin,03408671,,Journal,2700;
Biologiya Morya (Vladivostok),01343475,,Journal,2300; 1900;
Biology bulletin of the Academy of Sciences of the USSR,00982164,,Journal,2700;
Biology of Blood and Marrow Transplantation,10838791,15236536,Journal,2720; 2747;
Biology of Sport,0860021X,,Journal,2732; 2737; 3612;
Biology of the Cell,02484900,1768322X,Journal,2700;
Biomacromolecules,15257797,15264602,Journal,2505; 2502; 2507; 1502;
Biomarkers,1354750X,13665804,Journal,2700;
Biomass,01444565,,Journal,2200;
Biomaterials Medical Devices and Artificial Organs,00905488,,Journal,2700;
Biomaterials Science,20474830,20474849 ,Journal,2204; 2500; 
"Biomaterials, Artificial Cells, and Artificial Organs",08905533,,Journal,2700;
"Biomaterials, Artificial Cells, and Immobilization Biotechnology",10557172,,Journal,2700;
Biomatter,21592527,21592535 ,Journal,2502; 2204; 2701; 
Biomedical and Environmental Sciences,08953988,,Journal,2739; 2307;
Biomedical Digital Libraries,17425581,,Journal,3309;
Biomedical engineering,00062898,,Journal,2204; 3607; 2701;
Bio-Medical Engineering,00063398,15738256,Journal,2204; 3607; 2701;
Biomedical Engineering (New York) (English translation of Meditsinskaya Tekhnika),00258075,,Journal,2500; 2210; 2700;
Biomedical Engineering Letters,20939868,2093985X ,Journal,2204; 
BioMedical Engineering Online,1475925X,,Journal,2204;
Biomedical Ethics,14309858,,Journal,2734;
Biomedical Imaging and Intervention Journal,18235530,,Journal,2204; 2741; 3614;
Biomedical Instrumentation and Technology,08998205,,Journal,2204; 1705;
Biomedical Journal,23194170,23202890 ,Journal,2700; 
Biomedical Materials,09557717,,Journal,2211; 1403; 1601;
"Biomedical materials (Bristol, England)",17486041,1748605X ,Journal,2211; 1403; 1601;
Bio-Medical Materials and Engineering,09592989,,Journal,2204; 2502;
"Biomedical papers of the Medical Faculty of the University Palacky, Olomouc, Czechoslovakia",12138118,,Journal,2700;
Biomedical Signal Processing and Control,17468094,,Journal,2718; 1711;
Biomedical Technology Today,08839093,,Journal,2200;
Biomedicine / [publiee pour l'A.A.I.C.I.G.],03000893,,Journal,2700;
Biomedicine Express,03000885,,Journal,2700;
Biomeditsinskaya Khimiya,00428809,,Journal,2700;
Biomedizinische Technik. Biomedical engineering,00135585,,Journal,2204;
Biometrical Journal,03233847,15214036,Journal,2613; 1804; 2700;
Biometrische Zeitschrift,00063452,,Journal,2700;
Biomolecules,,2218273X,Journal,2700; 
BioNanoScience,21911630,21911649 ,Journal,2204; 1502; 
Bioorganic and Medicinal Chemistry,09680896,14643391,Journal,2700;
Biophysics of Structure and Mechanism,03401057,,Journal,2700;
Biophysik,00063517,,Journal,2700;
Bioremediation Journal,10889868,,Journal,2300;
Bioresource Technology,09608524,,Journal,1502; 2305; 2311;
BioResources,19302126,,Journal,1502; 2305; 2311;
BioRisk,13132644,13132652 ,Journal,2301;
Biosciences Communications,03022781,,Journal,2700;
BioScope: South Asian Screen Studies,09749276,0976352X ,Journal,3315; 1213; 
Biosecurity and Bioterrorism,15387135,,Journal,3306; 2739; 2308;
Biosemiotics,18751342,18751350 ,Journal,1203; 3315; 3301;
BioSocieties,17458552,17458560 ,Journal,2719; 3306;
Biostatistics,14654644,14684357,Journal,2613; 1804; 2700;
Biotechnic and Histochemistry,10520295,,Journal,2700;
Biotechnology for Biofuels,,17546834 ,Journal,2105;
Biotelemetry,03015912,,Journal,2700;
Biotelemetry and Patient Monitoring,0378309X,,Journal,2200; 2700;
"Bipolar Disorders, Supplement",13992406,,Journal,3203;
Birth,07307659,1523536X,Journal,2700;
Birth and the family journal,0098860X,,Journal,2700;
BIT (Copenhagen),00063835,,Journal,2605; 1704; 1712; 2604;
BIT Numerical Mathematics,00063835,15729125,Journal,2605; 1712; 2604; 1705;
Bitacora Urbano Territorial,01247913,,Journal,3322; 3305;
Bitumen Teere Asphalte Peche,0340384X,,Journal,2700;
Biuletyn - Panstwowego Instytutu Geologicznego,08676143,,Journal,1907;
Biuletyn Instytutu Medycyny Morskiej w Gdansku,00204463,,Journal,2700;
"Biuletyn Państwowego Instytutu Medycyny Morskiej i Tropikalnej w Gdańsku. Biulleten' Gosudarstvennogo Instituta morskoi i tropicheskoi meditsiny v Gdan'ske. Bulletin of the State Institute of Marine and Tropical Medicine in Gdańsk, Poland",02085089,,Journal,2700;
Biuletyn Peryglacjalny,00679038,,Journal,2300; 1900;
BJOG: An International Journal of Obstetrics and Gynaecology,14700328,14710528,Journal,2729;
BJR supplement / BIR,09612653,,Journal,2700;
BJU International,14644096,1464410X,Journal,2748;
"BJU International, Supplement",14655101,,Journal,2748;
Black Music Research Journal,02763605,,Journal,1210; 3316;
Black Scholar,00064246,,Journal,3312; 3316;
Black Theology,14769948,17431670 ,Journal,1212; 
Blake - An Illustrated Quarterly,0160628X,,Journal,1208;
Blätter der DGFVM,18640281,,Journal,1402; 2604; 1804;
Blood Cancer Journal,20445385,,Journal,2730; 2720; 
Blood Cells,03404684,,Journal,2720;
Blood Coagulation and Fibrinolysis,09575235,,Journal,2720;
Blood Pressure,08037051,16511999,Journal,2724; 2705;
Blood Pressure Monitoring,13595237,,Journal,2724; 2903; 2902; 2705;
"Blood Pressure, Supplement",08038023,,Journal,2724; 2705;
Blood Purification,02535068,14219735,Journal,2720; 2727;
Blood Research,2287979X,22880011 ,Journal,2720; 
Blood Reviews,0268960X,,Journal,2720; 2730;
Blood Transfusion,17232007,,Journal,2720; 2723;
Blut,00065242,,Journal,2720;
BMC Anesthesiology,14712253,,Journal,2703;
BMC Cardiovascular Disorders,14712261,,Journal,2705;
BMC Clinical Pathology,14726890,,Journal,2734; 2722;
BMC Complementary and Alternative Medicine,14726882,,Journal,2707;
BMC Dermatology,14715945,,Journal,2708;
"BMC Ear, Nose and Throat Disorders",14726815,,Journal,2733;
BMC Ecology,14726785,,Journal,2300;
BMC Emergency Medicine,1471227X,,Journal,2711;
BMC Endocrine Disorders,14726823,,Journal,2712;
BMC Family Practice,14712296,,Journal,2714;
BMC Gastroenterology,1471230X,,Journal,2715;
BMC Geriatrics,14712318,,Journal,2717;
BMC Health Services Research,14726963,,Journal,2719;
BMC Infectious Diseases,14712334,,Journal,2725;
BMC International Health and Human Rights,1472698X,,Journal,2739;
BMC Medical Education,14726920,,Journal,3304; 2700;
BMC Medical Ethics,14726939,,Journal,3306; 2910; 2719;
BMC Medical Imaging,14712342,,Journal,2741;
BMC Medical Informatics and Decision Making,14726947,,Journal,2718; 2719;
BMC Medical Physics,17566649,,Journal,2741;
BMC Medical Research Methodology,14712288,,Journal,2713;
BMC Medicine,17417015,,Journal,2700;
BMC Microbiology,14712180,,Journal,2726;
BMC Musculoskeletal Disorders,14712474,,Journal,2732;
BMC Nephrology,14712369,,Journal,2727;
BMC Neurology,14712377,,Journal,2728;
BMC News and Views,14718219,,Journal,2700;
BMC Nuclear Medicine,14712385,,Journal,2700;
BMC Nursing,14726955,,Journal,2900;
BMC Ophthalmology,14712415,,Journal,2731;
BMC Oral Health,14726831,,Journal,3500;
BMC Palliative Care,1472684X,,Journal,2700;
BMC Pediatrics,14712431,,Journal,2735;
BMC pharmacology & toxicology,20506511,,Journal,2700; 
BMC Pregnancy and Childbirth,14712393,,Journal,2729;
BMC Psychiatry,1471244X,,Journal,2738;
BMC Public Health,14712458,,Journal,2739;
BMC Pulmonary Medicine,14712466,,Journal,2740;
"BMC Sports Science, Medicine and Rehabilitation",20521847,,Journal,3612; 2742; 2732; 
BMC Surgery,14712482,,Journal,2746;
BMC Urology,14712490,,Journal,2748;
BMC Veterinary Research,17466148,,Journal,3400;
BMC Women's Health,14726874,,Journal,2729; 2700;
"BME = Bio medical engineering / henshu, Nihon ME Gakkai",09137556,,Journal,2700;
BMJ (Clinical research ed.),09598138,,Journal,2700;
BMJ Case Reports,1757790X,,Journal,2700; 
BMJ Open,20446055,,Journal,2700;
BMJ Quality and Safety,20445415,,Journal,2719;
BMJ Supportive and Palliative Care,2045435X,20454368,Journal,2700; 2917; 2701; 2914; 
BMR Journal of Australian Geology and Geophysics,03129608,,Journal,2300; 1900;
BMS Bulletin of Sociological Methodology/ Bulletin de Methodologie Sociologique,07591063,,Journal,3312; 
Bobbin,08963991,,Journal,1400; 1403;
Bochumer Geographische Arbeiten,0523798X,,Journal,2300; 1900;
Bodleian Library Record,00679488,,Journal,1200;
Body and Society,1357034X,14603632 ,Journal,3316; 3207; 3306;
Body Image,17401445,,Journal,3200; 3202; 3207;
"Body, Movement and Dance in Psychotherapy",17432979,,Journal,3203; 2738;
Bogazici Journal,13009583,,Journal,3300; 3305;
Bogoslovni Vestnik,00065722,,Journal,1212;
Bogoslovska Smotra,03523101,,Journal,1212;
Bolema - Mathematics Education Bulletin,0103636X,19804415 ,Journal,2601; 3304;
Bolest,12120634,12126861,Journal,2728; 2703;
Boletim da Faculdade de Farmacia e Odontologia de Ribeirao Preto,00802913,,Journal,2700;
Boletim da Sociedade Paranaense de Matematica,00378712,21751188 ,Journal,2600; 
Boletim da Sociedade Portuguesa de Cardiologia,03044750,,Journal,2705;
Boletim de Ciencias Geodesicas,14134853,,Journal,1900;
Boletim de Geociencias - Petrobras,01029304,,Journal,1901;
Boletim do Hospital de Pulido Valente,08708363,,Journal,2700;
Boletim do Instituto de Puericultura,,,Journal,2700;
Boletim do Instituto de Puericultura e Pediatria Martagão Gesteira,00803170,,Journal,2700;
"Boletim IG - Universidade de Sao Paulo, Instituto de Geosciencias",01026283,,Journal,2300; 1900;
Boletim Paranaense de Geosciencias,0067964X,,Journal,1900;
Boletim Tecnico da PETROBRAS,16772598,,Journal,1508;
Boletim Tecnico da Producao de Petroleo,18096751,,Journal,2102; 1909;
Boletimdo Museu Paraense Emilio Goeldi:Ciencias Humanas,19818122,,Journal,3310; 3314; 3302; 1203; 1204; 
Boletin - Asociacion Espanola de Entomologia,02108984,,Journal,2300; 1900;
Boletin - Colegio de Profesionales de la Enfermeria de Puerto Rico,01456245,,Journal,2700;
Boletin - Real Sociedad Espanola de Historia Natural: Seccion Biologica,03663272,,Journal,2300; 1900;
Boletin - Real Sociedad Espanola de Historia Natural: Seccion Geologica,,,Journal,2300; 1900;
Boletin Cientifico del Centro de Museos,01233068,,Journal,1209; 1206; 
Boletin de Estadistica e Investigacion Operativa,18893805,,Journal,1803; 1804; 
Boletin de Estudios Medicos y Biologicos,00679666,,Journal,2700;
Boletin de Geologia,01200283,,Journal,1900; 
Boletin de historia y antiguedades,00066303,,Journal,2700;
Boletin de informacion dental,00066311,,Journal,2700;
Boletin de informaciones parasitarias chilenas,03660613,,Journal,2700;
Boletin de la Academia Nacional de la Historia. Academia Nacional de la Historia (Venezuela),02547325,,Journal,2700;
Boletin de la Asociacion de Demografia Historica,02131145,,Journal,2700;
Boletin de la Asociacion de Geografos Espanoles,02129426,,Journal,3305;
Boletin de la Asociacion Internacional de Derecho Cooperativo,1134993X,,Journal,3308; 
Boletin de la Asociacion Medica de Puerto Rico,00044849,,Journal,2700;
Boletin de la Oficina Sanitaria Panamericana,00300632,,Journal,2739;
Boletin de la Real Academia Espanola,02104822,,Journal,3310; 1203;
Boletin de la Sociedad Chilena de Quimica,03661644,,Journal,1600;
Boletin de la Sociedad Espanola de Ceramica y Vidrio,03663175,,Journal,2211; 2503; 2209;
Boletin de la Sociedad Geologica Mexicana,14053322,,Journal,1900;
Boletin de la Sociedad Matematica Mexicana,00378615,,Journal,2600;
Boletin de la Sociedad Venezolana de Espeleologia,05837731,,Journal,1904;
Boletin de Linguistica,07989709,,Journal,3200; 1200;
Boletin de sanidad militar,,,Journal,2700;
"Boletin del Instituto de Estudios Medicos y Biologicos, Universidad Nacional Autonoma de Mexico",03661695,,Journal,2700;
Boletin del Museo Chileno de Arte Precolombino,07161530,07186894,Journal,3314; 1213; 3302; 1204; 
Boletin Geoologico y Minero,03660176,,Journal,1906; 1907;
Boletin Higiene y Epidemiologia,0006629X,,Journal,2739;
Boletin Intexter,11316756,,Journal,1501; 2300; 2507; 1202;
Boletin Medico del Hospital Infantil de Mexico,05396115,16651146,Journal,2735;
Boletin Mexicano de Derecho Comparado,00418633,,Journal,3308;
Boletin Tecnico/Technical Bulletin,0376723X,,Journal,2205; 2500;
Boletín. Academia Peruana de Cirugía,,,Journal,2700;
Boletin. Sociedad Chilena de Obstetricia y Ginecología,03663140,,Journal,2700;
Boletín. Sociedad de Cirugía del Uruguay,03663159,,Journal,2700;
Bolleti de la Societat d'Historia Natural de les Balears,0212260X,,Journal,2303; 1907;
Bolletino dell Unione Matematica Italiana,19726724,,Journal,2600;
Bollettino - Lega Italiana contro l'Epilessia,0394560X,,Journal,2728;
Bollettino d'Arte,03944611,,Journal,1213;
Bollettino della Societa Geologica Italiana,00378763,,Journal,1907;
"Bollettino della Societa Geologica Italiana, Supplemento",17222818,,Journal,1907;
Bollettino della Societa Italiana di Biologia Sperimentale,00378771,,Journal,2700;
Bollettino della Societa italiana di cardiologia,0037878X,,Journal,2700;
